S-22B Kaldi 8 17.2727272727 S:24, I:3, D:11
S-22B Kaldi 9 15.9090909091 S:4, I:1, D:2
S-22B Kaldi 10 19.9004975124 S:31, I:1, D:8
S-22B Kaldi 11 18.7192118227 S:26, I:5, D:7
S-22B Google 0 42.9906542056 S:35, I:2, D:55
S-22B Google 1 33.9130434783 S:32, I:2, D:44
S-22B Google 2 37.2822299652 S:100, I:7, D:107
S-22B Google 3 36.032388664 S:26, I:1, D:62
S-22B Google 4 43.4523809524 S:50, I:0, D:96
S-22B Google 5 39.2370572207 S:55, I:2, D:87
S-22B Google 6 51.5151515152 S:7, I:0, D:10
S-22B Google 7 26.5432098765 S:22, I:0, D:21
S-22B Google 8 34.5454545455 S:33, I:1, D:42
S-22B Google 9 27.2727272727 S:3, I:0, D:9
S-22B Google 10 30.8457711443 S:32, I:1, D:29
S-22B Google 11 40.39408867 S:39, I:3, D:40
S-4D Kaldi 0 49.7916666667 S:154, I:36, D:49
S-4D Kaldi 1 43.961352657 S:100, I:34, D:48
S-4D Kaldi 2 38.1107491857 S:69, I:9, D:39
S-4D Kaldi 3 32.5443786982 S:67, I:5, D:38
S-4D Kaldi 4 35.7142857143 S:94, I:11, D:55
S-4D Kaldi 5 39.1923990499 S:99, I:20, D:46
S-4D Google 0 57.2916666667 S:147, I:7, D:121
S-4D Google 1 54.8309178744 S:118, I:0, D:109
S-4D Google 2 52.4429967427 S:77, I:2, D:82
S-4D Google 3 50.0 S:88, I:1, D:80
S-4D Google 4 50.4464285714 S:123, I:0, D:103
S-4D Google 5 56.2945368171 S:119, I:1, D:117
S-8D Kaldi 0 16.049382716 S:22, I:8, D:9
S-8D Kaldi 1 14.2259414226 S:19, I:4, D:11
S-8D Kaldi 2 15.8273381295 S:31, I:11, D:24
S-8D Kaldi 3 24.1071428571 S:66, I:6, D:36
S-8D Kaldi 4 19.1146881288 S:54, I:17, D:24
S-8D Kaldi 5 16.1073825503 S:47, I:6, D:19
S-8D Google 0 37.037037037 S:38, I:1, D:51
S-8D Google 1 30.9623430962 S:31, I:1, D:42
S-8D Google 2 27.5779376499 S:36, I:2, D:77
S-8D Google 3 35.9375 S:73, I:0, D:88
S-8D Google 4 31.5895372233 S:75, I:6, D:76
S-8D Google 5 30.4250559284 S:71, I:2, D:63
S-3C Kaldi 0 29.2682926829 S:29, I:19, D:12
S-3C Kaldi 1 32.3529411765 S:23, I:13, D:8
S-3C Kaldi 2 25.0 S:46, I:18, D:17
S-3C Kaldi 3 20.1834862385 S:25, I:10, D:9
S-3C Kaldi 4 19.9040767386 S:62, I:11, D:10
S-3C Kaldi 5 26.4227642276 S:40, I:6, D:19
S-3C Google 0 31.7073170732 S:40, I:5, D:20
S-3C Google 1 32.3529411765 S:19, I:3, D:22
S-3C Google 2 35.1851851852 S:43, I:7, D:64
S-3C Google 3 29.8165137615 S:44, I:3, D:18
S-3C Google 4 35.2517985612 S:90, I:8, D:49
S-3C Google 5 35.3658536585 S:40, I:2, D:45
S-12D Kaldi 0 29.8245614035 S:24, I:1, D:9
S-12D Kaldi 1 32.8767123288 S:36, I:3, D:9
S-12D Kaldi 2 22.7848101266 S:9, I:3, D:6
S-12D Kaldi 3 29.7619047619 S:13, I:2, D:10
S-12D Kaldi 4 22.8571428571 S:30, I:0, D:10
S-12D Kaldi 5 32.1917808219 S:30, I:1, D:16
S-12D Google 0 52.6315789474 S:28, I:0, D:32
